raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,123.0,24.0,4,1993-07-25,2.0,6.0,7.0,11.0,12.0,5.0,8.0,7.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,84.0,6.0,3,1993-07-25,38.0,91.0,4.0,14.0,5.0,6.0,3.0,3.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,55.0,10.0,3,1993-07-25,18.0,21.0,5.0,9.0,3.0,8.0,4.0,5.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,77.0,9.0,3,1993-07-25,49.0,99.0,4.0,4.0,14.0,6.0,6.0,1.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,119.0,7.0,3,1993-07-25,56.0,164.0,8.0,3.0,10.0,4.0,1.0,5.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,102.0,4.0,3,1993-07-25,50.0,99.0,2.0,5.0,4.0,18.0,1.0,2.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,30.0,3.0,2,1993-07-25,53.0,91.0,3.0,2.0,2.0,3.0,3.0,7.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,117.0,1.0,1,1993-07-25,5.0,10.0,4.0,1.0,1.0,1.0,4.0,1.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,94.0,22.0,4,1993-07-25,2.0,2.0,11.0,10.0,15.0,10.0,8.0,6.0
283,1993.0,11.0,11.0,Hungarian Grand Prix,1993-08-15,\N,http://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix,119.0,5.0,2,1993-08-15,56.0,164.0,3.0,5.0,3.0,10.0,4.0,1.0
283,1993.0,11.0,11.0,Hungarian Grand Prix,1993-08-15,\N,http://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix,84.0,13.0,3,1993-08-15,38.0,91.0,5.0,8.0,14.0,5.0,6.0,3.0
