grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
9.0,7.0,6.0,4.0,4.0,6.0,9.0,13.0,9.0,3
9.0,12.0,5.0,5.0,11.0,6.0,5.0,13.0,8.0,3
7.0,3.0,7.0,5.0,4.0,12.0,7.0,42.0,26.0,2
8.0,4.0,11.0,6.0,2.0,7.0,4.0,28.0,19.0,4
3.0,1.0,1.0,11.0,1.0,1.0,5.0,103.0,92.0,2
2.0,1.0,2.0,1.0,2.0,2.0,4.0,118.0,91.0,2
4.0,2.0,3.0,3.0,12.0,11.0,3.0,71.0,41.0,3
7.0,4.0,2.0,5.0,1.0,2.0,5.0,71.0,24.0,3
9.0,6.0,3.0,4.0,10.0,9.0,3.0,42.0,16.0,3
6.0,11.0,7.0,4.0,1.0,7.0,12.0,103.0,0.0,3
9.0,9.0,9.0,6.0,4.0,4.0,6.0,13.0,9.0,3
7.0,7.0,7.0,7.0,4.0,1.0,7.0,103.0,0.0,3
5.0,2.0,4.0,3.0,3.0,12.0,11.0,71.0,41.0,3
3.0,1.0,2.0,1.0,11.0,1.0,1.0,103.0,92.0,1
1.0,2.0,1.0,2.0,1.0,11.0,1.0,103.0,92.0,1
3.0,7.0,2.0,7.0,5.0,4.0,12.0,42.0,26.0,2
11.0,11.0,8.0,9.0,6.0,4.0,4.0,13.0,9.0,3
9.0,11.0,6.0,7.0,7.0,4.0,1.0,103.0,0.0,2
23.0,7.0,4.0,5.0,5.0,11.0,6.0,13.0,8.0,3
10.0,9.0,7.0,4.0,5.0,5.0,11.0,13.0,8.0,3
13.0,10.0,14.0,6.0,11.0,9.0,6.0,9.0,3.0,2
12.0,5.0,5.0,8.0,9.0,6.0,4.0,13.0,9.0,2
1.0,3.0,3.0,2.0,1.0,2.0,2.0,118.0,91.0,1
6.0,12.0,8.0,3.0,4.0,10.0,9.0,24.0,7.0,4
5.0,5.0,5.0,2.0,5.0,1.0,2.0,73.0,42.0,2
4.0,1.0,1.0,1.0,2.0,1.0,11.0,147.0,102.0,2
7.0,4.0,2.0,2.0,7.0,5.0,4.0,30.0,17.0,3
1.0,2.0,1.0,3.0,2.0,1.0,2.0,118.0,69.0,1
16.0,5.0,10.0,6.0,5.0,14.0,15.0,5.0,0.0,3
15.0,11.0,2.0,5.0,8.0,9.0,6.0,24.0,16.0,3
12.0,7.0,6.0,2.0,5.0,8.0,9.0,24.0,16.0,3
17.0,4.0,3.0,6.0,7.0,7.0,4.0,147.0,45.0,3
1.0,1.0,1.0,1.0,3.0,2.0,1.0,118.0,69.0,1
4.0,2.0,2.0,5.0,2.0,5.0,1.0,73.0,42.0,2
9.0,8.0,4.0,2.0,2.0,7.0,5.0,30.0,17.0,3
12.0,5.0,9.0,3.0,6.0,7.0,7.0,147.0,45.0,3
11.0,7.0,12.0,8.0,3.0,4.0,10.0,24.0,7.0,3
5.0,4.0,11.0,11.0,6.0,2.0,7.0,21.0,11.0,3
3.0,1.0,3.0,1.0,1.0,2.0,1.0,147.0,102.0,2
11.0,5.0,8.0,4.0,2.0,2.0,7.0,30.0,17.0,3
5.0,2.0,3.0,2.0,5.0,2.0,5.0,73.0,42.0,3
7.0,3.0,4.0,4.0,3.0,3.0,12.0,73.0,31.0,2
1.0,1.0,2.0,3.0,1.0,1.0,2.0,147.0,102.0,2
2.0,1.0,1.0,1.0,1.0,3.0,2.0,118.0,69.0,1
14.0,9.0,8.0,6.0,2.0,5.0,8.0,24.0,16.0,1
13.0,4.0,7.0,9.0,3.0,6.0,7.0,147.0,45.0,2
9.0,6.0,8.0,7.0,6.0,10.0,6.0,18.0,15.0,3
3.0,1.0,2.0,2.0,3.0,1.0,1.0,147.0,102.0,1
4.0,4.0,6.0,3.0,2.0,5.0,2.0,73.0,42.0,2
11.0,8.0,4.0,8.0,7.0,6.0,10.0,18.0,15.0,3
15.0,8.0,3.0,7.0,9.0,3.0,6.0,147.0,45.0,3
9.0,10.0,6.0,12.0,8.0,3.0,4.0,24.0,7.0,3
4.0,1.0,2.0,6.0,3.0,2.0,5.0,73.0,42.0,2
1.0,2.0,1.0,1.0,1.0,1.0,3.0,118.0,69.0,1
10.0,6.0,5.0,11.0,11.0,6.0,2.0,21.0,11.0,3
2.0,2.0,1.0,1.0,1.0,1.0,1.0,118.0,69.0,1
8.0,4.0,6.0,6.0,12.0,8.0,3.0,24.0,7.0,3
9.0,8.0,1.0,8.0,6.0,2.0,5.0,24.0,16.0,3
5.0,7.0,8.0,8.0,4.0,2.0,2.0,30.0,17.0,3
4.0,12.0,3.0,4.0,4.0,3.0,3.0,73.0,31.0,3
3.0,5.0,3.0,2.0,6.0,3.0,2.0,73.0,42.0,2
13.0,1.0,7.0,3.0,7.0,9.0,3.0,147.0,45.0,3
7.0,5.0,4.0,3.0,4.0,4.0,3.0,73.0,31.0,2
4.0,3.0,5.0,8.0,8.0,4.0,2.0,30.0,17.0,2
9.0,3.0,6.0,4.0,3.0,1.0,3.0,118.0,49.0,3
